author,idn,place,recipient,year,location,point,lat,lon
"Heilbut, Iwan",993726410,o.O.,"Ben-Ḥorin, Shalom",1967-1967,"Port-au-Prince, Ouest, Haiti","(18.54349, -72.33881, 0.0)",18.54349,-72.33881
"Heilbut, Iwan",994251165,o.O.,"Bruer, Ursula",1955-1955,"Port-au-Prince, Ouest, Haiti","(18.54349, -72.33881, 0.0)",18.54349,-72.33881
"Heilbut, Iwan",999351982,o.O.,"Thormann, Charlotte",1965-1965,"Port-au-Prince, Ouest, Haiti","(18.54349, -72.33881, 0.0)",18.54349,-72.33881
"Heilbut, Iwan",999964143,o.O.,"Wilde, Harry",1969-1969,"Port-au-Prince, Ouest, Haiti","(18.54349, -72.33881, 0.0)",18.54349,-72.33881
"Heilbut, Iwan",997966610,o.O.,"Perera, Carolyn",1964-1964,"Port-au-Prince, Ouest, Haiti","(18.54349, -72.33881, 0.0)",18.54349,-72.33881
"Heilbut, Iwan",998105279,o.O.,"Ramsperger, Ina",1964-1964,"Port-au-Prince, Ouest, Haiti","(18.54349, -72.33881, 0.0)",18.54349,-72.33881
"Heilbut, Iwan",996990046,o.O.,"Mager, Ingeborg",1964-1964,"Port-au-Prince, Ouest, Haiti","(18.54349, -72.33881, 0.0)",18.54349,-72.33881
"Schell, Carl",998395838,o.O.,"Heilbut, Iwan",,"Port-au-Prince, Ouest, Haiti","(18.54349, -72.33881, 0.0)",18.54349,-72.33881
"Heilbut, Iwan",99360241X,o.O.,"Bannert, Karl Jos.",1971-1971,"Port-au-Prince, Ouest, Haiti","(18.54349, -72.33881, 0.0)",18.54349,-72.33881
"Heilbut, Iwan",993603173,o.O.,"Baur, Hans",1965-1965,"Port-au-Prince, Ouest, Haiti","(18.54349, -72.33881, 0.0)",18.54349,-72.33881
"Heilbut, Iwan",993625983,o.O.,"Bellardi, Ingrid",1962-1962,"Port-au-Prince, Ouest, Haiti","(18.54349, -72.33881, 0.0)",18.54349,-72.33881
"Gronicka, André von",995871485,o.O.,"Heilbut, Iwan",1948-1948,"Port-au-Prince, Ouest, Haiti","(18.54349, -72.33881, 0.0)",18.54349,-72.33881
"Hopf, Alice",996396683,o.O.,"Heilbut, Iwan",1956-1956,"Port-au-Prince, Ouest, Haiti","(18.54349, -72.33881, 0.0)",18.54349,-72.33881
"Kerr, Alfred",996629211,o.O.,"Heilbut, Iwan",1948-1948,"Port-au-Prince, Ouest, Haiti","(18.54349, -72.33881, 0.0)",18.54349,-72.33881
"Landshoff, Philippine",996747001,o.O.,"Heilbut, Iwan",,"Port-au-Prince, Ouest, Haiti","(18.54349, -72.33881, 0.0)",18.54349,-72.33881
"Dorsch, Käthe",994648375,o.O.,"Heilbut, Iwan",1957-1957,"Port-au-Prince, Ouest, Haiti","(18.54349, -72.33881, 0.0)",18.54349,-72.33881
"Baum, Vicki",993593453,o.O.,"Heilbut, Iwan",1943-1943,"Port-au-Prince, Ouest, Haiti","(18.54349, -72.33881, 0.0)",18.54349,-72.33881
"Heilbut, Iwan",993728022,München u.a.,"Benedikt, Ernst Martin",1967-1970,,,,
"Heilbut, Iwan",994255020,München u.a.,"Klausnitzer, Horst",1953-1965,,,,
"Heilbut, Iwan",994636555,München u.a.,"Diestel, Hedwig",1968-1971,,,,
"Heilbut, Iwan",996971068,München u.a.,"Dombrowski, Erich",1954-1955,,,,
"Heilbut, Iwan",994685629,München u.a.,"Edel, Gottfried",1964-1971,,,,
"Heilbut, Iwan",994861699,München u.a.,"Fernau, Rudolf",1952-1972,,,,
"Heilbut, Iwan",994912021,München u.a.,"Frank, D. M.",1966-1970,,,,
"Heilbut, Iwan",996192859,München u.a.,"Heilbut, Charlotte",,,,,
"Heilbut, Iwan",99619410X,München u.a.,"Heilbut, Francis",1961-1962,,,,
"Heilbut, Iwan",99851196X,München u.a.,"Schmitt-Sulzthal, Rudolf",1953-1966,,,,
"Heilbut, Iwan",998746568,München u.a.,"Sellenthin, Hans Gerd",1956-1966,,,,
"Heilbut, Iwan",999225324,München u.a.,"Ebert, Carl",1956-1957,,,,
"Heilbut, Iwan",999320726,München u.a.,"Rosengarten, Walter",1952-1966,,,,
"Heilbut, Iwan",999363476,München u.a.,"Trausil, Lore",1953-1957,,,,
"Heilbut, Iwan",999508261,München u.a.,"Schifferli, Peter",1960-1960,,,,
"Heilbut, Iwan",999945793,München u.a.,"Ude, Karl",1955-1965,,,,
"Heilbut, Iwan",999956566,München u.a.,"Mierendorff, Marta",1962-1969,,,,
"Heilbut, Iwan",1000071804,München u.a.,"Wolf, Eleanor B.",1965-1968,,,,
"Heilbut, Iwan",99712282X,München u.a.,"Hohenemser, Herbert",1952-1957,,,,
"Heilbut, Iwan",997262613,München u.a.,"Wallenberg, Hans",1950-1952,,,,
"Heilbut, Iwan",997737166,München u.a.,"Schönwiese, Ernst",1967-1969,,,,
"Heilbut, Iwan",998002232,München u.a.,"Preuss, Lotte",1951-1971,,,,
"Heilbut, Iwan",998007722,München u.a.,"Giefer, Günter",1960-1963,,,,
"Heilbut, Iwan",996742255,München u.a.,"Vietta, Egon",1952-1952,,,,
"Heilbut, Iwan",997071885,München u.a.,"Maximowna, Ita",1965-1969,,,,
"Lorenz, Wilfried",996938885,München u.a.,"Heilbut, Iwan",1964-1966,,,,
"Maximowna, Ita",997071699,München u.a.,"Heilbut, Iwan",1965-1968,,,,
"Meingast, Fritz",997090324,München u.a.,"Heilbut, Iwan",1948-1971,,,,
"Schnetz, Wolf Peter",998517437,München u.a.,"Heilbut, Iwan",1964-1965,,,,
"Schultes, Christl",998570346,München u.a.,"Heilbut, Iwan",1964-1968,,,,
"Wedekind, Pamela",999676547,München u.a.,"Heilbut, Iwan",1948-1950,,,,
"Wimmer, Maria",999985930,München u.a.,"Heilbut, Iwan",1951-1962,,,,
"Gaetke, Eleonore",995037779,München u.a.,"Heilbut, Iwan",1951-1963,,,,
"Kirchhoff, Helma",996645969,München u.a.,"Heilbut, Iwan",1953-1953,,,,
"Leibl, Herta",996778241,München u.a.,"Heilbut, Iwan",1951-1957,,,,
"Christophel, Friedrich Wilhelm",994364571,München u.a.,"Heilbut, Iwan",1948-1951,,,,
"Dammann, Anna",994448104,München u.a.,"Heilbut, Iwan",1957-1958,,,,
"Bellardi, Ingrid",993618022,München u.a.,"Heilbut, Iwan",1962-1962,,,,
"Bildt, Paul",993756247,München u.a.,"Heilbut, Iwan",1954-1962,,,,
"Heilbut, Iwan",993729622,München,"Berendsohn, Walter A.",1969-1969,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",993752403,München,"Gerber, Hela",1961-1961,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",993794564,München,"Blisse, Gerda",1958-1958,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",993801544,München,"Bruckner, Hermann",1963-1963,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994253192,München,"Engesser, Klaus",1965-1965,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994253796,München,"Skulima, Loni",1952-1953,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994335024,München,"Bundschuh, ...",1966-1966,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994362900,München,"Christlieb, ...",1953-1953,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994365896,München,"Bissinger, F.",1951-1951,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994371691,München,"Colbert, Helga",1970-1971,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994439113,München,"Cotton, Maurice",1957-1957,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994451172,München,"Deutsch, Ernst",1952-1960,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994466552,München,"Böse, Georg",1950-1964,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994485093,München,"Barjansky, Michael",1950-1953,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994487789,München,"Müller-Horn, ...",1960-1960,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994488602,München,"Hasselblatt, Dieter",1966-1966,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994489439,München,"Dèvignes, Yvonne",1963-1963,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",99463336X,München,"Diem-Tilp, Ida",1953-1954,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994649290,München,"Daskaljuk, Paula",1953-1953,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994684681,München,"Drewitz, Ingeborg",1969-1970,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994684800,München,"Bolle, Fritz",1968-1970,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994739222,München,"Elbau, Julius",1963-1963,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994771452,München,"Meurer, Kurt",1962-1962,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994794142,München,"Engelmeier, ...",1966-1966,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994794312,München,"Zoeller-Dudman, Juscha",1965-1965,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994852177,München,"Féaux de la Croix, Ernst",1966-1966,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994875282,München,"Forstat, ...",1966-1966,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994885458,München,"Forstat, ...",1954-1954,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994912404,München,"Frank, D. M.",1968-1968,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994912668,München,"Gerold, Karl",1960-1961,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994912757,München,"Bach, Rudolf",1952-1952,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",994913095,München,"Schneekluth, Franz",1956-1956,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",995053057,München,"Galleani di St. Ambroise, Barbara",1962-1966,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",995855331,München,"Ginsberg, Ernst",1952-1952,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",995873771,München,"Grüntzig, Walter",1953-1953,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",995891257,München,"Gürster, Eugen",1965-1965,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",99590183X,München,"Habe, Hans",1970-1971,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",995918406,München,"Häuser, Hans",1953-1953,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",995927383,München,"Hampe, Johann Christoph",1964-1964,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",995931836,München,"Hansemann, Walter",1953-1953,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",995932085,München,"Harbeck, Anni",1968-1968,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",996194967,München,"Heilbut, Francis",1963-1965,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",996195483,München,"Heilbut, Francis",1966-1971,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",996195912,München,"Heilbut, Francis",1950-1972,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",996197575,München,"Heinrich, Ursula",1962-1962,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",996197982,München,"Schonauer, Franz",1960-1961,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",996222146,München,"Herrenkind, Otto",1962-1966,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",996231404,München,"Roloff, Fränze",1955-1955,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",99626325X,München,"Hirschberg, Dorothea",1952-1952,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",996263861,München,"Hirschfeld, Hans Emil",1955-1955,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",99638863X,München,"Hochfilser, ...",1964-1964,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",996388826,München,"Hofer, ...",1965-1965,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",996422293,München,"Hutter, ...",1952-1952,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",996429492,München,"Hirsch, Rudolf",1964-1964,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",996432264,München,"Röder, Werner",1970-1970,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",996435069,München,"Kohn, Hein",1970-1970,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",998395765,München,"Scheiner, Hedwig",1966-1969,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",998508160,München,"Schlabrendorff, Fabian von",1968-1968,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",998516163,München,"Schneidt, Christl",1965-1965,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",998518271,München,"Schnetz, Wolf Peter",1964-1965,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",998519758,München,"Schönburg-Hartenstein, Agathe von",,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",998570451,München,"Schultes, Christl",1964-1965,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",998570796,München,"Schulze, Verena",1962-1962,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",998591270,München,"Landau, Edwin Maria",1964-1964,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",998593575,München,"Schwarz, Georg",1953-1966,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",998716421,München,"Seeberger, Kurt",1963-1966,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",998725943,München,"Schwarz, Hilde",1961-1961,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",998746401,München,"Seiderer, Hermann",1968-1968,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",998776467,München,"Setzer, Johanna",1952-1965,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",998778435,München,"Siadimas, Miltiades",1964-1964,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",998784680,München,"Simundt, Egon Christian",1952-1954,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",99922431X,München,"Deharde, Gustav",1952-1952,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999225022,München,"Bröger, Friedrich",1952-1952,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999523562,München,"Vogt, Hans Joachim",1966-1966,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999238183,München,"Stark, Günther",1952-1952,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999238833,München,"Stefl, Max",1964-1964,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",99929850X,München,"Stern, Desider",1966-1971,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999300709,München,"Seydelmann, Gertrud",1966-1966,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999315668,München,"Goldschmit, Rudolf",1950-1971,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999320793,München,"Suhrkamp, Peter",1952-1954,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999350811,München,"Theile, Albert",1965-1966,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999437828,München,"Ulmer, Elisabeth",1951-1951,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999445758,München,"Joyce, ...",1966-1966,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999501879,München,"Witsch, Joseph Caspar",1960-1961,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999503375,München,"Schneider, Lambert",1961-1961,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999635409,München,"Pfleiderer, D.",1950-1950,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999647237,München,"Walter, Hans-Albert",1970-1970,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999663836,München,"Rast, Josef",1970-1972,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999673629,München,"Weber, Kurt",1963-1963,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999677810,München,"Wegner, Armin T.",1961-1961,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999678310,München,"Weigelt, Friedrich",1962-1962,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999935453,München,"Weiss, Luitpold",1968-1968,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999935844,München,"Haas, Helmuth de",1966-1971,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999954687,München,"Werner, Arthur",1967-1967,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999965530,München,"Hermann, ...",1951-1951,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",999986287,München,"Wimmer, Maria",1951-1952,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",1000086240,München,"Ziersch, ...",1967-1967,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",1000086445,München,"Walther, Karl-Heinz",1952-1953,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",1000086593,München,"Zivier, ...",1966-1966,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",997088680,München,"Meierott, Waltraut",1968-1971,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",997098406,München,"Meyer, Werner",1961-1961,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
"Heilbut, Iwan",997098740,München,"Meyer, William",1966-1966,"Munich, Bavaria, Germany","(48.13743, 11.57549, 0.0)",48.13743,11.57549
